group,dimension,size,mean,median,positive_fraction
enterocyte of epithelium proper of duodenum,cell_type,13495,0.2153021,0.21309935,0.00955909596146721
bronchial smooth muscle cell,cell_type,220,0.21479374,0.2163637,0.08181818181818182
melanocyte,cell_type,234,0.21434331,0.21971639,0.03418803418803419
Mueller cell,cell_type,506,0.2115486,0.19216642,0.09486166007905138
intestinal crypt stem cell of small intestine,cell_type,587,0.2106939,0.21372496,0.015332197614991482
supporting cell of vestibular epithelium,cell_type,270,0.20998527,0.20855975,0.007407407407407408
enteroglial cell,cell_type,990,0.20780781,0.2024166,0.031313131313131314
basal cell,cell_type,33526,0.20638114,0.20288152,0.018284316649764362
ventricular cardiac muscle cell,cell_type,2599,0.20631118,0.20627993,0.032320123124278566
paneth cell of epithelium of small intestine,cell_type,1853,0.20607519,0.21175885,0.0010793308148947653
mesenchymal stem cell of adipose tissue,cell_type,3777,0.20535703,0.20065929,0.016679904686258934
mucus secreting cell,cell_type,270,0.20528652,0.21121752,0.003703703703703704
erythroid progenitor cell,cell_type,971,0.20360838,0.20131093,0.017507723995880537
ciliated epithelial cell,cell_type,320,0.20222697,0.20317525,0.003125
epithelial fate stem cell,cell_type,2,0.20204474,0.20204474,0.0
tuft cell of colon,cell_type,178,0.20164333,0.19795758,0.06179775280898876
lung multiciliated epithelial cell,cell_type,1209,0.20147933,0.20437646,0.0024813895781637717
intestinal crypt stem cell of colon,cell_type,1732,0.20009358,0.20109841,0.004618937644341801
eye photoreceptor cell,cell_type,1536,0.1971097,0.20068662,0.011067708333333334
salivary gland cell,cell_type,850,0.1960715,0.20190983,0.009411764705882352
skeletal muscle satellite stem cell,cell_type,6170,0.19474289,0.19229734,0.016369529983792545
myeloid cell,cell_type,81,0.19404829,0.18747431,0.037037037037037035
myo-medullary thymic epithelial cell,cell_type,77,0.19381729,0.19392118,0.012987012987012988
hematopoietic cell,cell_type,100,0.19298662,0.1817176,0.04
transit amplifying cell of small intestine,cell_type,34,0.19185936,0.19917572,0.029411764705882353
retina horizontal cell,cell_type,5,0.19162466,0.15415037,0.0
respiratory tract goblet cell,cell_type,1040,0.18730898,0.18379052,0.0038461538461538464
epithelial cell,cell_type,1675,0.18424892,0.17557277,0.010149253731343283
unknown,cell_type,9,0.1830875,0.19242159,0.0
connective tissue cell,cell_type,152,0.18274583,0.17265849,0.006578947368421052
vestibular dark cell,cell_type,49,0.18143378,0.17091809,0.0
progenitor cell of mammary luminal epithelium,cell_type,1694,0.18143174,0.18236351,0.0005903187721369539
retinal ganglion cell,cell_type,1,0.18129024,0.18129024,0.0
luminal cell of prostate epithelium,cell_type,10652,0.18078156,0.16412136,0.014739016147202404
innate lymphoid cell,cell_type,971,0.18014969,0.12226761,0.14521112255406798
kidney epithelial cell,cell_type,9278,0.17926173,0.17198011,0.008622547962923045
stromal cell of ovary,cell_type,35003,0.17890097,0.1718598,0.0035139845156129472
multiciliated columnar cell of tracheobronchial tree,cell_type,713,0.17697209,0.18270402,0.0
stratified squamous epithelial cell,cell_type,12323,0.17450975,0.1640099,0.013065000405745354
acinar cell of salivary gland,cell_type,12237,0.17327851,0.17706425,0.008171937566396992
hepatocyte,cell_type,7414,0.17109217,0.16885957,0.002158079309414621
adventitial cell,cell_type,1045,0.17081499,0.16157673,0.013397129186602871
endothelial cell of vascular tree,cell_type,875,0.16996509,0.1489849,0.037714285714285714
serous cell of epithelium of trachea,cell_type,326,0.16556188,0.1607503,0.003067484662576687
stromal cell,cell_type,3458,0.16526224,0.16533206,0.013302486986697512
enterocyte of epithelium of large intestine,cell_type,4567,0.16273247,0.15512234,0.01204291657543245
tongue muscle cell,cell_type,202,0.16123061,0.14248423,0.0297029702970297
spermatid,cell_type,4009,0.15499125,0.12919047,0.009229234222998255
paneth cell of colon,cell_type,217,0.15161768,0.13377178,0.004608294930875576
T follicular helper cell,cell_type,6,0.14870183,0.097970404,0.0
sebocyte,cell_type,135,0.1466321,0.14216551,0.0
plasma cell,cell_type,27349,0.14069,0.13543254,0.004168342535376065
serous cell of epithelium of bronchus,cell_type,15,0.1389917,0.133258,0.0
fast muscle cell,cell_type,495,0.1358616,0.11343011,0.006060606060606061
retinal pigment epithelial cell,cell_type,67,0.13007046,0.11913541,0.0
enterocyte of epithelium proper of small intestine,cell_type,1415,0.12467614,0.088731006,0.011307420494699646
pancreatic acinar cell,cell_type,5482,0.112847164,0.099675715,0.003101058008026268
muscle cell,cell_type,406,0.11270268,0.099545,0.0
slow muscle cell,cell_type,174,0.10292886,0.08849624,0.005747126436781609
leukocyte,cell_type,201,0.10229599,0.058719434,0.03980099502487562
tracheal goblet cell,cell_type,232,0.08709032,0.06996055,0.0
adipocyte,cell_type,39,0.08689042,0.06627841,0.02564102564102564
mesenchymal cell,cell_type,2,0.08208038,0.08208038,0.0
acinar cell,cell_type,1345,0.054790817,0.042695824,0.0
erythrocyte,cell_type,14611,0.023976086,0.005262336,0.00020532475532133323
erythroid lineage cell,cell_type,2,0.008955818,0.008955818,0.0
Spleen,tissue,70448,0.29539597,0.29220474,0.23354814898932547
Heart,tissue,25832,0.2820472,0.2847194,0.16653762774852895
Vasculature,tissue,42650,0.274979,0.27684593,0.13840562719812427
Bladder,tissue,66385,0.2727955,0.27343792,0.11062740076824584
Uterus,tissue,22029,0.2677063,0.26602697,0.10822098143356484
Bone_Marrow,tissue,27112,0.26501065,0.2736627,0.1763425789318383
Blood,tissue,85233,0.25800988,0.27739587,0.16644961458589982
Fat,tissue,94415,0.25388506,0.24542837,0.11730127628025208
Muscle,tissue,46772,0.24856618,0.2470319,0.09420165911228941
Thymus,tissue,42729,0.24625188,0.24473767,0.07072480048678884
Mammary,tissue,30936,0.24395092,0.24190323,0.05986552883372123
Lung,tissue,65847,0.2436524,0.24008961,0.055978252615912646
Liver,tissue,22214,0.24118197,0.23538032,0.1355001350499685
Trachea,tissue,22671,0.23968565,0.23350587,0.08146971902430418
Lymph_Node,tissue,129062,0.23749787,0.23480865,0.07176395840758705
Small_Intestine,tissue,42036,0.23494601,0.23191199,0.049362451232277095
Stomach,tissue,33064,0.23488829,0.22505617,0.14199733849503993
Ear,tissue,3055,0.23460333,0.23363577,0.04288052373158756
Large_Intestine,tissue,30084,0.23375094,0.23001817,0.08187076186677303
Skin,tissue,17786,0.23211896,0.23047999,0.05695490835488586
Salivary_Gland,tissue,39821,0.2318051,0.23342699,0.07435775093543608
Pancreas,tissue,14140,0.22106124,0.22528869,0.07942008486562942
Prostate,tissue,21030,0.21980363,0.21405822,0.05430337612933904
Eye,tissue,34273,0.21311344,0.2138021,0.03708458553380212
Tongue,tissue,38754,0.19978529,0.18844947,0.03785415699024617
Testis,tissue,7513,0.19718374,0.19315113,0.03261014241980567
Ovary,tissue,48951,0.19711512,0.1886761,0.023186451757880328
Kidney,tissue,11376,0.19608808,0.18174538,0.03401898734177215
