dimension,group,cells,median,mean,p95,top_5pct_fraction,top_1pct_fraction,top_5pct_enrichment,top_1pct_enrichment
cell_type,taste receptor cell,32,0.24672511,0.256475,0.3991553053259849,0.03125,0.0,0.625,0.0
cell_type,fibroblast of cardiac tissue,1947,0.26296854,0.26383528,0.4012785196304321,0.02670775552131484,0.0015408320493066256,0.5341551104262968,0.15408320493066255
cell_type,enterocyte of epithelium proper of ileum,6477,0.2289885,0.22850354,0.3332245588302612,0.0012351397251814111,0.0,0.024702794503628223,0.0
cell_type,enterocyte of epithelium proper of duodenum,13495,0.21309935,0.2153021,0.329147246479988,0.002815857725083364,0.0002223045572434235,0.05631715450166728,0.02223045572434235
cell_type,"activated CD8-positive, alpha-beta T cell",1147,0.26197252,0.26303133,0.4061971873044968,0.03138622493461203,0.0034873583260680036,0.6277244986922406,0.34873583260680036
cell_type,unknown,9,0.19242159,0.1830875,0.2301309585571289,0.0,0.0,0.0,0.0
cell_type,glial cell,20,0.23355207,0.26207277,0.4521541178226472,0.1,0.05,2.0,5.0
cell_type,hepatic stellate cell,223,0.25972623,0.2642611,0.43459221422672245,0.053811659192825115,0.008968609865470852,1.0762331838565022,0.8968609865470851
cell_type,transit amplifying cell of small intestine,34,0.19917572,0.19185936,0.3325891256332396,0.0,0.0,0.0,0.0
cell_type,luminal epithelial cell of mammary gland,15432,0.236372,0.23720455,0.3714581400156021,0.009396060134784863,0.0006480041472265422,0.18792120269569726,0.06480041472265423
cell_type,ventricular cardiac muscle cell,2599,0.20627993,0.20631118,0.3627593845129013,0.010003847633705272,0.001923816852635629,0.20007695267410544,0.1923816852635629
cell_type,thymic fibroblast type 1,3270,0.21260363,0.21559936,0.33410342186689374,0.0012232415902140672,0.0,0.024464831804281342,0.0
cell_type,thymic fibroblast type 2,4205,0.2210174,0.22111091,0.3425207972526549,0.0009512485136741974,0.0,0.019024970273483946,0.0
cell_type,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,0.2950986,0.2981105,0.4504750296473503,0.08522727272727272,0.015151515151515152,1.7045454545454544,1.5151515151515151
cell_type,neuro-medullary thymic epithelial cell,135,0.35640946,0.3684539,0.5429845690727234,0.3111111111111111,0.08888888888888889,6.222222222222222,8.88888888888889
cell_type,serous cell of epithelium of trachea,326,0.1607503,0.16556188,0.2978130206465721,0.003067484662576687,0.0,0.06134969325153374,0.0
cell_type,hematopoietic precursor cell,2140,0.33622125,0.3235436,0.47460295706987377,0.16308411214953272,0.019626168224299065,3.2616822429906542,1.9626168224299065
cell_type,transit amplifying cell of colon,237,0.21564011,0.21831949,0.3342722654342651,0.0,0.0,0.0,0.0
cell_type,myeloid leukocyte,1002,0.3210379,0.3192725,0.46946166753768914,0.1377245508982036,0.02594810379241517,2.754491017964072,2.5948103792415167
cell_type,stromal cell of ovary,35003,0.1718598,0.17890097,0.30062200427055363,0.0005713795960346256,2.856897980173128e-05,0.011427591920692513,0.002856897980173128
cell_type,ovarian surface epithelial cell,241,0.21284439,0.21569003,0.33021166920661926,0.004149377593360996,0.0,0.08298755186721991,0.0
cell_type,pancreatic acinar cell,5482,0.099675715,0.112847164,0.2503326997160911,0.0007296607077708865,0.0,0.01459321415541773,0.0
cell_type,pancreatic ductal cell,2721,0.28414848,0.2821859,0.4099059998989105,0.03234105108416024,0.0033076074972436605,0.6468210216832047,0.33076074972436603
cell_type,pancreatic A cell,48,0.47039783,0.4638102,0.5957107573747634,0.6875,0.3333333333333333,13.75,33.33333333333333
cell_type,type B pancreatic cell,102,0.26651838,0.31204832,0.5868676006793976,0.21568627450980393,0.11764705882352941,4.313725490196078,11.76470588235294
cell_type,pancreatic D cell,9,0.30663297,0.32794,0.46235806941986085,0.2222222222222222,0.0,4.444444444444444,0.0
cell_type,pancreatic stellate cell,438,0.3008765,0.30774722,0.45896968990564346,0.0958904109589041,0.02511415525114155,1.917808219178082,2.5114155251141552
cell_type,pancreatic PP cell,2,0.43995255,0.43995255,0.6054478004574776,0.5,0.5,10.0,50.0
cell_type,myo-medullary thymic epithelial cell,77,0.19392118,0.19381729,0.30216334462165834,0.0,0.0,0.0,0.0
cell_type,progenitor cell of mammary luminal epithelium,1694,0.18236351,0.18143174,0.28930468112230295,0.0005903187721369539,0.0,0.011806375442739077,0.0
cell_type,spermatid,4009,0.12919047,0.15499125,0.3174750983715057,0.002993265153404839,0.0007483162883512097,0.05986530306809677,0.07483162883512097
cell_type,spermatocyte,3070,0.23352018,0.23798783,0.3721682399511337,0.012703583061889252,0.002280130293159609,0.254071661237785,0.2280130293159609
cell_type,male germ cell,116,0.35986745,0.3528705,0.5251698940992355,0.28448275862068967,0.06896551724137931,5.689655172413793,6.896551724137931
cell_type,Leydig cell,10,0.23338878,0.246209,0.3697911188006401,0.0,0.0,0.0,0.0
cell_type,peritubular myoid cell,67,0.28754184,0.30064115,0.5021425366401672,0.14925373134328357,0.05970149253731343,2.9850746268656714,5.970149253731343
cell_type,spermatogonium,64,0.28016806,0.27076787,0.44243816435337063,0.09375,0.015625,1.875,1.5625
cell_type,muscle cell,406,0.099545,0.11270268,0.24095629528164864,0.0,0.0,0.0,0.0
cell_type,retina horizontal cell,5,0.15415037,0.19162466,0.33297227025032045,0.0,0.0,0.0,0.0
cell_type,hematopoietic cell,100,0.1817176,0.19298662,0.36691545248031615,0.02,0.0,0.39999999999999997,0.0
cell_type,supporting cell of vestibular epithelium,270,0.20855975,0.20998527,0.3429345652461051,0.007407407407407408,0.003703703703703704,0.14814814814814814,0.37037037037037035
