dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,399368,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.754606,14.309192,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399370,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3495741,15.793813,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399388,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.823925,14.264984,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399426,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.629277,14.191935,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399448,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3663274,15.814473,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399467,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3843582,15.702264,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399513,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.010004932,15.269895,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399530,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.222488,15.922797,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399540,vascular associated smooth muscle cell,contractile cell,mammary gland,Mammary,,,,,8.688585,12.96042,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399543,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.5777874,16.06929,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399563,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4296315,15.830869,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399570,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.274268,13.854885,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399618,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.085010394,15.274017,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399635,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.123935,15.224057,none,0.0,0.0,0.0,0.0
