"atlas","method","panel","group","score","n_cells"
"hbca","AUCell","full61","Eccentric medium spiny neuron",0.287025423777036,200
"hbca","AUCell","full61","Hippocampal CA1-3",0.295933646673229,200
"hbca","AUCell","full61","Hippocampal CA4",0.274986571147313,200
"hbca","AUCell","full61","Hippocampal dentate gyrus",0.263386062444165,200
"hbca","AUCell","full61","LAMP5-LHX6 and Chandelier",0.271464143256269,200
"hbca","AUCell","full61","Lower rhombic lip",0.279236859924548,200
"hbca","AUCell","full61","Mammillary body",0.234519377948231,200
"hbca","AUCell","full61","Medium spiny neuron",0.253683517221366,200
"hbca","AUCell","full61","MGE interneuron",0.25906976744186,200
"hbca","AUCell","full61","Midbrain-derived inhibitory",0.284669798168896,200
"hbca","AUCell","full61","Miscellaneous",0.250517636749535,200
"hbca","AUCell","full61","Splatter",0.25315134203174,200
"hbca","AUCell","full61","Thalamic excitatory",0.269229149714637,200
"hbca","AUCell","full61","Upper rhombic lip",0.205164873307879,200
"hbca","AUCell","full61","Upper-layer intratelencephalic",0.288739366454043,200
"hbca","UCell","full61","Amygdala excitatory",0.187773828521689,200
"hbca","UCell","full61","Cerebellar inhibitory",0.158549838743876,200
"hbca","UCell","full61","CGE interneuron",0.166864405361069,200
"hbca","UCell","full61","Deep-layer corticothalamic and 6b",0.196735484158957,200
"hbca","UCell","full61","Deep-layer intratelencephalic",0.187617315225033,200
"hbca","UCell","full61","Deep-layer near-projecting",0.167319800466471,200
"hbca","UCell","full61","Eccentric medium spiny neuron",0.194371965985559,200
"hbca","UCell","full61","Hippocampal CA1-3",0.207605234965238,200
"hbca","UCell","full61","Hippocampal CA4",0.195010350522827,200
"hbca","UCell","full61","Hippocampal dentate gyrus",0.181202920465578,200
"hbca","UCell","full61","LAMP5-LHX6 and Chandelier",0.179896020489013,200
"hbca","UCell","full61","Lower rhombic lip",0.187778878237677,200
"hbca","UCell","full61","Mammillary body",0.139348754031403,200
"hbca","UCell","full61","Medium spiny neuron",0.171539800689663,200
"hbca","UCell","full61","MGE interneuron",0.17326200493254,200
"hbca","UCell","full61","Midbrain-derived inhibitory",0.199874063989108,200
