source,cell_type,n_cells,ADORA1_mean_nonzero,ADORA1_pct_expressing,ADORA1_mean
Tabula Sapiens,melanocyte,234,0.44795385003089905,2.1367521367521367,0.009571663103997707
Tabula Sapiens,basal cell of prostate epithelium,3495,0.43712687492370605,0.17167381974248927,0.0007504324312321842
Tabula Sapiens,bladder urothelial cell,27241,0.42980828881263733,0.07708968099555816,0.000331337854731828
Tabula Sapiens,hematopoietic precursor cell,2140,0.4231254458427429,0.7476635514018692,0.0031635547056794167
Tabula Sapiens,enterocyte of epithelium proper of duodenum,13495,0.4187895953655243,0.2667654686921082,0.0011171860387548804
Tabula Sapiens,regular atrial cardiac myocyte,5816,0.4106375277042389,9.07840440165062,0.03727933391928673
Tabula Sapiens,mesenchymal stem cell of adipose tissue,3777,0.4103727638721466,1.0060894890124437,0.004128716886043549
Tabula Sapiens,hepatocyte,7414,0.39772000908851624,0.18883193957377933,0.0007510222494602203
Tabula Sapiens,pancreatic stellate cell,438,0.39303380250930786,7.9908675799086755,0.03140680864453316
Tabula Sapiens,ionocyte,160,0.3926241397857666,0.625,0.0024539008736610413
Tabula Sapiens,duct epithelial cell,3889,0.3923242390155792,1.4399588583183338,0.005649307742714882
Tabula Sapiens,adventitial cell,1045,0.3877716064453125,0.7655502392344498,0.0029685867484658957
Tabula Sapiens,stratified squamous epithelial cell,12323,0.3810283839702606,0.210987584192161,0.0008039225358515978
Tabula Sapiens,salivary gland cell,850,0.3714525103569031,7.294117647058823,0.02709418721497059
Tabula Sapiens,plasma cell,27349,0.362376868724823,0.091411020512633,0.00033125243498943746
Tabula Sapiens,acinar cell of salivary gland,12237,0.36088699102401733,2.8111465228405654,0.010145062580704689
Tabula Sapiens,leukocyte,201,0.3594619333744049,2.4875621890547266,0.008941839449107647
Tabula Sapiens,microglial cell,410,0.3406771123409271,2.682926829268293,0.009140118025243282
Tabula Sapiens,multiciliated columnar cell of tracheobronchial tree,713,0.3405616283416748,0.5610098176718092,0.0019105838146060705
Tabula Sapiens,vein endothelial cell,4698,0.3216221332550049,0.14899957428693061,0.00047921561053954065
Tabula Sapiens,mesothelial cell,350,0.320138156414032,5.714285714285714,0.018293611705303192
Tabula Sapiens,enterocyte of epithelium proper of ileum,6477,0.28231948614120483,0.0771962328238382,0.0002179400180466473
Tabula Sapiens,pulmonary alveolar type 2 cell,11594,0.27993306517601013,1.0350181128169742,0.0028973582666367292
Tabula Sapiens,epithelial cell of uterus,1417,0.2782590091228485,1.6231474947071278,0.004516554996371269
Tabula Sapiens,type B pancreatic cell,102,0.2750890851020813,1.9607843137254901,0.005393903702497482
Tabula Sapiens,sebocyte,135,0.2661760449409485,3.7037037037037033,0.009858372621238232
Tabula Sapiens,pancreatic acinar cell,5482,0.2639189064502716,12.878511492156147,0.0339888259768486
Tabula Sapiens,enterocyte of epithelium proper of small intestine,1415,0.22536633908748627,0.49469964664310956,0.001114886486902833
Tabula Sapiens,acinar cell,1345,0.2186303585767746,1.1895910780669146,0.002600807463750243
Tabula Sapiens,mucus secreting cell,270,0.1859140396118164,1.4814814814814816,0.002754281973466277
Tabula Sapiens,ovarian surface epithelial cell,241,0.16422533988952637,0.8298755186721992,0.0013628659071400762
Tabula Sapiens,common myeloid progenitor,456,0.15839724242687225,0.8771929824561403,0.0013894495787099004
Tabula Sapiens,enterocyte of epithelium of large intestine,4567,0.15399926900863647,0.41602802715130277,0.0006406800821423531
Tabula Sapiens,erythroid progenitor cell,971,0.1422041356563568,0.20597322348094746,0.0002929024340119213
Tabula Sapiens,oocyte,18,0.122897207736969,11.11111111111111,0.013655245304107666
Tabula Sapiens,paneth cell of epithelium of small intestine,1853,0.05743039771914482,0.26983270372369134,0.00015496599371545017
Tabula Sapiens,adipocyte,39,0.02477238141000271,15.384615384615385,0.0038111358880996704
Tabula Sapiens,unknown,9,0.004440725315362215,11.11111111111111,0.0004934139433316886
Tabula Sapiens,theca cell,1038,0.002248405711725354,0.09633911368015415,2.166094191125012e-06
