"atlas","method","panel","group","score","n_cells"
"tabula","AddModuleScore","full61","blood vessel smooth muscle cell",0.0708146728765465,200
"tabula","AddModuleScore","full61","capillary endothelial cell",0.0627633495862366,200
"tabula","AddModuleScore","full61","cardiac endothelial cell",0.0851181370693928,200
"tabula","AddModuleScore","full61","CD4-positive, alpha-beta T cell",0.0436077311373954,200
"tabula","AddModuleScore","full61","CD4-positive, alpha-beta thymocyte",0.0381390536633964,200
"tabula","AddModuleScore","full61","CD8-positive, alpha-beta T cell",0.077886476031477,200
"tabula","AddModuleScore","full61","CD8-positive, alpha-beta thymocyte",0.0549458220354469,200
"tabula","AddModuleScore","full61","classical monocyte",0.126399468425408,200
"tabula","AddModuleScore","full61","club cell",-0.00920370292769723,200
"tabula","AddModuleScore","full61","conjunctival epithelial cell",-0.00548420724608393,200
"tabula","AddModuleScore","full61","corneal epithelial cell",-0.0409013564128978,200
"tabula","AddModuleScore","full61","duct epithelial cell",0.0170779703159243,200
"tabula","AddModuleScore","full61","endothelial cell",0.0452455624787772,200
"tabula","AddModuleScore","full61","endothelial cell of artery",0.0698717791543446,200
"tabula","AddModuleScore","full61","endothelial cell of lymphatic vessel",0.0387108430862158,200
"tabula","AddModuleScore","full61","endothelial cell of vascular tree",0.0162458126116411,200
"tabula","AddModuleScore","full61","enterocyte of epithelium of large intestine",0.00480739198283276,200
"tabula","AddModuleScore","full61","enterocyte of epithelium proper of duodenum",0.0337731173620649,200
"tabula","AddModuleScore","full61","enterocyte of epithelium proper of ileum",0.0456935398689489,200
"tabula","AddModuleScore","full61","enterocyte of epithelium proper of small intestine",0.00401483845115753,200
"tabula","AddModuleScore","full61","enteroglial cell",0.0502294756939933,200
"tabula","AddModuleScore","full61","epithelial cell",-0.0224694591753131,200
"tabula","AddModuleScore","full61","epithelial cell of uterus",0.00164924757439207,200
"tabula","AddModuleScore","full61","erythrocyte",-0.011064138821718,200
"tabula","AddModuleScore","full61","erythroid progenitor cell",-0.0257890135732893,200
"tabula","AddModuleScore","full61","eye photoreceptor cell",-0.0133158948024232,200
"tabula","AddModuleScore","full61","fibroblast",0.00913319041615101,200
"tabula","AddModuleScore","full61","fibroblast of breast",0.0198005031462708,200
"tabula","AddModuleScore","full61","fibroblast of cardiac tissue",0.0767879251173375,200
"tabula","AddModuleScore","full61","gamma-delta T cell",0.0916178779508038,200
"tabula","AddModuleScore","full61","granulocyte",0.0953772572661202,200
"tabula","AddModuleScore","full61","hematopoietic precursor cell",0.101532389587558,200
"tabula","AddModuleScore","full61","hematopoietic stem cell",0.0505188960385159,200
"tabula","AddModuleScore","full61","hepatocyte",-0.00977707112154439,200
"tabula","AddModuleScore","full61","innate lymphoid cell",0.0382273537084258,200
"tabula","AddModuleScore","full61","intermediate monocyte",0.116102719286822,200
"tabula","AddModuleScore","full61","intestinal crypt stem cell of colon",-0.0118275242359133,200
"tabula","AddModuleScore","full61","intestinal crypt stem cell of small intestine",-0.00593223103338468,200
"tabula","AddModuleScore","full61","intrahepatic cholangiocyte",-0.00872598513433887,200
"tabula","AddModuleScore","full61","keratocyte",0.017139666199061,200
"tabula","AddModuleScore","full61","kidney epithelial cell",0.00264800875068051,200
"tabula","AddModuleScore","full61","large intestine goblet cell",0.0333975043312361,200
"tabula","AddModuleScore","full61","luminal cell of prostate epithelium",0.00188114492635713,200
"tabula","AddModuleScore","full61","luminal epithelial cell of mammary gland",-0.0236351738107724,200
"tabula","AddModuleScore","full61","lung multiciliated epithelial cell",0.0287480715262923,200
"tabula","AddModuleScore","full61","macrophage",0.0646842447080145,200
"tabula","AddModuleScore","full61","mast cell",0.0740684848391616,200
"tabula","AddModuleScore","full61","mature NK T cell",0.0977669912801499,200
"tabula","AddModuleScore","full61","mesenchymal stem cell",0.00207695068344018,200
"tabula","AddModuleScore","full61","mesenchymal stem cell of adipose tissue",-0.0130282833994817,200
"tabula","AddModuleScore","full61","monocyte",0.121250565190019,200
"tabula","AddModuleScore","full61","mononuclear phagocyte",0.0912035466140354,200
"tabula","AddModuleScore","full61","Mueller cell",0.0349182216830435,200
"tabula","AddModuleScore","full61","multiciliated columnar cell of tracheobronchial tree",0.00767493933320551,200
"tabula","AddModuleScore","full61","mural cell",0.133639494681981,200
"tabula","AddModuleScore","full61","myeloid dendritic cell",0.0619269920605982,200
"tabula","AddModuleScore","full61","myeloid leukocyte",0.0801218595783968,200
"tabula","AddModuleScore","full61","myofibroblast cell",0.0801272041824633,200
"tabula","AddModuleScore","full61","myometrial cell",0.0736926301970174,200
"tabula","AddModuleScore","full61","naive thymus-derived CD4-positive, alpha-beta T cell",0.044917629610803,200
"tabula","AddModuleScore","full61","naive thymus-derived CD8-positive, alpha-beta T cell",0.0764679691951077,200
"tabula","AddModuleScore","full61","natural killer cell",0.115587216636379,200
"tabula","AddModuleScore","full61","neutrophil",0.166593337561787,200
"tabula","AddModuleScore","full61","non-classical monocyte",0.103577451453605,200
"tabula","AddModuleScore","full61","pancreatic acinar cell",-0.0149497175736003,200
