dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression
HBCA non-neuronal,roi,Human A25,human a25,ADORA2B,2663,5.595193390912505,0.06947052478790283
HBCA non-neuronal,roi,Human A25,human a25,ADORA3,2663,0.03755163349605708,0.0003755163343157619
HBCA non-neuronal,roi,Human A29-A30,human a29-a30,ADORA1,2427,9.147095179233622,0.10053563863039017
HBCA non-neuronal,roi,Human A29-A30,human a29-a30,ADORA2A,2427,0.20601565718994644,0.002060156548395753
HBCA non-neuronal,roi,Human A29-A30,human a29-a30,ADORA2B,2427,1.6069221260815822,0.01771734654903412
HBCA non-neuronal,roi,Human A29-A30,human a29-a30,ADORA3,2427,0.0,0.0
HBCA non-neuronal,roi,Human A32,human a32,ADORA1,2016,18.055555555555554,0.2375992089509964
HBCA non-neuronal,roi,Human A32,human a32,ADORA2A,2016,0.8928571428571428,0.009424603544175625
HBCA non-neuronal,roi,Human A32,human a32,ADORA2B,2016,13.640873015873014,0.195932537317276
HBCA non-neuronal,roi,Human A32,human a32,ADORA3,2016,0.0,0.0
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA1,72,18.055555555555554,0.25
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA2A,72,0.0,0.0
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA2B,72,6.944444444444445,0.1111111119389534
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA3,72,0.0,0.0
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA1,1948,17.813141683778234,0.2197125256061554
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA2A,1948,0.6673511293634496,0.00718685844913125
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA2B,1948,5.95482546201232,0.07238192856311798
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA3,1948,0.0,0.0
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA1,17491,16.865816705734378,0.2018180787563324
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA2A,17491,0.7089360242410383,0.007661082781851292
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA2B,17491,4.528042993539535,0.05259848013520241
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA3,17491,0.0,0.0
HBCA non-neuronal,roi,Human A38,human a38,ADORA1,3165,17.44075829383886,0.22843602299690247
HBCA non-neuronal,roi,Human A38,human a38,ADORA2A,3165,0.5055292259083728,0.005055292043834925
HBCA non-neuronal,roi,Human A38,human a38,ADORA2B,3165,6.9510268562401265,0.09194312989711761
HBCA non-neuronal,roi,Human A38,human a38,ADORA3,3165,0.0315955766192733,0.0003159557527396828
HBCA non-neuronal,roi,Human A40,human a40,ADORA1,3050,13.967213114754099,0.18163934350013733
HBCA non-neuronal,roi,Human A40,human a40,ADORA2A,3050,0.5901639344262295,0.005901639349758625
HBCA non-neuronal,roi,Human A40,human a40,ADORA2B,3050,6.065573770491803,0.07737705111503601
HBCA non-neuronal,roi,Human A40,human a40,ADORA3,3050,0.0,0.0
HBCA non-neuronal,roi,Human A43,human a43,ADORA1,3796,17.2550052687039,0.22049525380134583
HBCA non-neuronal,roi,Human A43,human a43,ADORA2A,3796,0.6059009483667017,0.006322444882243872
HBCA non-neuronal,roi,Human A43,human a43,ADORA2B,3796,7.007376185458377,0.08877766132354736
HBCA non-neuronal,roi,Human A43,human a43,ADORA3,3796,0.026343519494204423,0.00026343518402427435
HBCA non-neuronal,roi,Human A44-A45,human a44-a45,ADORA1,2555,14.403131115459884,0.1776908040046692
HBCA non-neuronal,roi,Human A44-A45,human a44-a45,ADORA2A,2555,0.547945205479452,0.005870841443538666
HBCA non-neuronal,roi,Human A44-A45,human a44-a45,ADORA2B,2555,6.418786692759296,0.07710371911525726
HBCA non-neuronal,roi,Human A44-A45,human a44-a45,ADORA3,2555,0.0,0.0
HBCA non-neuronal,roi,Human A46,human a46,ADORA1,3136,15.752551020408163,0.19228316843509674
HBCA non-neuronal,roi,Human A46,human a46,ADORA2A,3136,0.5102040816326531,0.005102040711790323
HBCA non-neuronal,roi,Human A46,human a46,ADORA2B,3136,7.079081632653061,0.09215561300516129
HBCA non-neuronal,roi,Human A46,human a46,ADORA3,3136,0.0,0.0
HBCA non-neuronal,roi,Human A5-A7,human a5-a7,ADORA1,2758,16.533720087019578,0.20050761103630066
HBCA non-neuronal,roi,Human A5-A7,human a5-a7,ADORA2A,2758,0.36258158085569253,0.003625815734267235
HBCA non-neuronal,roi,Human A5-A7,human a5-a7,ADORA2B,2758,5.293691080493111,0.06780275702476501
HBCA non-neuronal,roi,Human A5-A7,human a5-a7,ADORA3,2758,0.0,0.0
HBCA non-neuronal,roi,Human ANC,human anc,ADORA1,6272,15.768494897959185,0.1997767835855484
HBCA non-neuronal,roi,Human ANC,human anc,ADORA2A,6272,1.3392857142857142,0.016262754797935486
HBCA non-neuronal,roi,Human ANC,human anc,ADORA2B,6272,0.8450255102040817,0.010044642724096775
HBCA non-neuronal,roi,Human ANC,human anc,ADORA3,6272,0.0,0.0
HBCA non-neuronal,roi,Human AON,human aon,ADORA1,1967,13.37061514997458,0.16370107233524323
HBCA non-neuronal,roi,Human AON,human aon,ADORA2A,1967,0.5592272496187087,0.005592272616922855
HBCA non-neuronal,roi,Human AON,human aon,ADORA2B,1967,7.88002033553635,0.10574478656053543
HBCA non-neuronal,roi,Human AON,human aon,ADORA3,1967,0.0,0.0
HBCA non-neuronal,roi,Human BL,human bl,ADORA1,4596,16.166231505657095,0.20213228464126587
HBCA non-neuronal,roi,Human BL,human bl,ADORA2A,4596,0.6309834638816362,0.007180156651884317
HBCA non-neuronal,roi,Human BL,human bl,ADORA2B,4596,3.372497824194952,0.040034811943769455
HBCA non-neuronal,roi,Human BL,human bl,ADORA3,4596,0.0,0.0
