atlas,group,n_cells,panel_mean,control_mean,module_score
Tabula Sapiens,luminal epithelial cell of mammary gland,15432,0.2802308978145524,0.3385155603660167,-0.058284662551464306
Tabula Sapiens,sebocyte,135,0.1983090748625079,0.2595404834829878,-0.061231408620479905
Tabula Sapiens,mucus secreting cell,270,0.2637426412109631,0.32528345003365144,-0.061540808822688364
Tabula Sapiens,stratified squamous epithelial cell,12323,0.21511896902928057,0.2841500776653824,-0.06903110863610185
Tabula Sapiens,plasma cell,27349,0.16586030894863812,0.23663648937729584,-0.07077618042865771
Tabula Sapiens,progenitor cell of mammary luminal epithelium,1694,0.21303228008023078,0.2865807520185523,-0.07354847193832154
Tabula Sapiens,basal cell,33526,0.25824963300559695,0.3334620474359036,-0.07521241443030663
Tabula Sapiens,skeletal muscle satellite stem cell,6170,0.24282676251147622,0.3212297254381218,-0.07840296292664556
Tabula Sapiens,radial glial cell,13,0.2610569384662801,0.34021254993703953,-0.07915561147075945
Tabula Sapiens,corneal epithelial cell,4187,0.2620561089470413,0.3438124927140383,-0.08175638376699701
Tabula Sapiens,mesenchymal cell,2,0.07069074228161672,0.16197394484916502,-0.09128320256754831
Tabula Sapiens,epithelial fate stem cell,2,0.22658581201552,0.3305994313473984,-0.10401361933187839
