group,gene,n_cells,pct_expressing,mean_expression
Mammary,ADORA2A,30936,0.02585983966899405,0.00011440761591074988
Mammary,ADORA2B,30936,8.8085078872511,0.05655901879072189
Mammary,ADORA3,30936,0.21011119731057668,0.0020130279008299112
Muscle,ADORA1,46772,0.2522876934918327,0.0015857114922255278
Muscle,ADORA2A,46772,0.09621140853502096,0.00030723505187779665
Muscle,ADORA2B,46772,1.7403574788334901,0.012619529850780964
Muscle,ADORA3,46772,0.9450098349439835,0.006810782011598349
Ovary,ADORA1,48951,0.17772874915732056,0.0009246072149835527
Ovary,ADORA2A,48951,0.13278584707156135,0.00019117705232929438
Ovary,ADORA2B,48951,0.34728606157177583,0.0017566327005624771
Ovary,ADORA3,48951,0.3268574697146126,0.002085920423269272
Pancreas,ADORA1,14140,13.910891089108912,0.06363347917795181
Pancreas,ADORA2A,14140,0.03536067892503536,0.0002817433560267091
Pancreas,ADORA2B,14140,4.335219236209335,0.022869665175676346
Pancreas,ADORA3,14140,5.042432814710042,0.03676437586545944
Prostate,ADORA1,21030,0.25677603423680456,0.001399913802742958
Prostate,ADORA2A,21030,0.028530670470756064,0.00018566536891739815
Prostate,ADORA2B,21030,2.1445553970518305,0.0106502128764987
Prostate,ADORA3,21030,3.518782691393248,0.03129487484693527
Salivary_Gland,ADORA1,39821,1.3259335526481002,0.005564575549215078
Salivary_Gland,ADORA2A,39821,0.10044951156425001,0.00039375395863316953
Salivary_Gland,ADORA2B,39821,1.5419000025112377,0.006930853705853224
Salivary_Gland,ADORA3,39821,3.568468898319982,0.030179357156157494
Skin,ADORA1,17786,0.15180479028449342,0.0007621601107530296
Skin,ADORA2A,17786,0.5791071629371415,0.0017867167480289936
Skin,ADORA2B,17786,1.8385246823344203,0.015024157240986824
Skin,ADORA3,17786,1.1357247273136175,0.013642587698996067
Small_Intestine,ADORA1,42036,0.20220763155390617,0.0008852959144860506
Small_Intestine,ADORA2A,42036,0.10229327243315253,0.00034466260694898665
Small_Intestine,ADORA2B,42036,0.6851270339708821,0.004031495191156864
Small_Intestine,ADORA3,42036,0.35921591017223337,0.0024519283324480057
Spleen,ADORA1,70448,0.5422439245968658,0.0029598777182400227
Spleen,ADORA2A,70448,0.9098909834203951,0.006661408115178347
Spleen,ADORA2B,70448,1.5003974562798092,0.009775117039680481
Spleen,ADORA3,70448,1.4038723597547127,0.007249722257256508
Stomach,ADORA1,33064,0.25707718364384224,0.0016365828923881054
Stomach,ADORA2A,33064,0.06048874909266877,0.00024729533470235765
Stomach,ADORA2B,33064,2.4135010887974837,0.018465133383870125
Stomach,ADORA3,33064,3.568836196467457,0.028176112100481987
Testis,ADORA1,7513,1.211233861307068,0.008030264638364315
Testis,ADORA2A,7513,0.10648209769732464,0.0002353334566578269
Testis,ADORA2B,7513,1.610541727672035,0.008332937024533749
Testis,ADORA3,7513,3.2876347664048984,0.019650978967547417
Thymus,ADORA1,42729,0.2293524304336633,0.0012707384303212166
Thymus,ADORA2A,42729,1.2918626693814506,0.009906958788633347
Thymus,ADORA2B,42729,0.8869854197383511,0.00558813801035285
Thymus,ADORA3,42729,0.620187694540008,0.0037487533409148455
Tongue,ADORA1,38754,0.46446818392940087,0.0025405772030353546
Tongue,ADORA2A,38754,0.036125303194508955,0.00023351219715550542
Tongue,ADORA2B,38754,19.90762243897404,0.11405352503061295
Tongue,ADORA3,38754,0.61671053310626,0.00500343507155776
Trachea,ADORA1,22671,0.6131180803669887,0.0032295009586960077
Trachea,ADORA2A,22671,0.2470116007233911,0.002147418214008212
Trachea,ADORA2B,22671,17.89951920956288,0.1455458104610443
Trachea,ADORA3,22671,0.4278593798244453,0.0029154971707612276
Uterus,ADORA1,22029,0.6264469562848972,0.003901124931871891
Uterus,ADORA2A,22029,0.13164465023378275,0.0007704809540882707
Uterus,ADORA2B,22029,1.4844069181533435,0.009892888367176056
Uterus,ADORA3,22029,0.45848654046938125,0.002938368823379278
Vasculature,ADORA1,42650,0.4501758499413834,0.0019362900638952851
Vasculature,ADORA2A,42650,0.06096131301289566,0.00029031839221715927
Vasculature,ADORA2B,42650,1.81242672919109,0.008611886762082577
Vasculature,ADORA3,42650,6.75029308323564,0.04341210424900055
