atlas,group,n_cells,receptor,Gi_alpha,adenylyl_cyclase,PKA,cAMP_downstream_CREB,Gbg_GIRK,Gbg_Ca_channels,PLC_PKC_Ca,NFkB,PI3K_MAPK,NO_cGMP,combined
Tabula Sapiens,myofibroblast cell,4436,0.005753061796808942,0.006098693835550395,0.053890909611475676,0.09011191435727273,-0.5813880843015486,-0.005605567470803852,0.05003921646939513,0.12052187813278192,0.2100983295586326,-0.03876773768460484,0.22235732219370768,0.0121009033180607
Tabula Sapiens,cardiac endothelial cell,10092,0.003182833239007631,0.1623054482586116,-0.0007025397578640132,-0.013801994260949468,-0.1968600325673241,-0.001230299037556325,-0.0007785763487559317,0.24024597200671066,-0.10049209733697761,0.03998165924389019,-0.019010920737697556,0.010258132063735916
Tabula Sapiens,non-classical monocyte,1284,0.0015378166505097882,0.20486537249168119,-0.016079259213098492,0.0011859693491805823,-0.29634838152525955,-0.0023972173092720074,0.0028518708071811408,0.20948955913019396,0.10268672021900843,0.03224339311252411,-0.13297743320541935,0.009732582773384525
Tabula Sapiens,vascular associated smooth muscle cell,5019,-0.002750104887694534,-0.12868812033445493,0.07028259288889326,0.04325069745279425,-0.4630918227669062,-0.007581439038726686,0.04134490261875682,0.14081930337364368,0.13810475390492788,-0.11945752107175062,0.37739877692000007,0.008148365369043908
Tabula Sapiens,"CD8-positive, alpha-beta thymocyte",731,-0.003876220083524118,-0.10456108119066676,-0.01921160599355888,0.052127865633152914,-0.0376018452742195,-0.005158986693746063,-0.007064485530800243,0.11217245179402241,0.15108680496789856,0.012427999152911762,-0.08610277240548973,0.005839829488725487
Tabula Sapiens,Leydig cell,10,0.0,0.043562738125837275,0.020072546154260643,0.04167382478713988,-0.4941872578859328,0.043100543916225434,0.09734503120183943,-0.010282374695999796,0.035561922788619915,0.044354422121080816,0.2425381008216313,0.005794499757700184
Tabula Sapiens,basophil,1669,0.0019567196892430454,0.015065858705462287,-0.057448403950003744,-0.07497711477937738,-0.3527208724230474,-0.012823550373362125,0.0032336405859400806,0.25589212134394723,0.3468749645443431,0.01056060123263547,-0.08403246815823502,0.00468922694704959
Tabula Sapiens,endothelial cell of arteriole,132,-0.0025775477455957144,0.18109112470993294,0.004559446945396228,-0.06228426097112599,-0.2410794925621964,-0.005794178150575714,0.004245005951573453,0.191962889854705,0.0035470147123277673,-0.021702096393683146,-0.004948961688791442,0.0042744495147242715
Tabula Sapiens,spermatogonium,64,0.02781237247399986,0.1322684118618505,0.018908384547103196,-0.033820974764724565,-0.06783298635855317,-0.014374839887022973,0.4609244886320084,0.0003877008326811371,-0.39587593441829083,-0.022159554950708538,-0.06290361613833478,0.003939404711818937
Tabula Sapiens,"activated CD4-positive, alpha-beta T cell",572,-0.001938156965937648,-0.03402414241741525,-0.02163579142920085,0.043886927102835205,-0.2844491222834252,-0.0020503710535207543,0.0011210413017941952,0.17014474432264798,0.3234290749562002,-0.06376828965264159,-0.09567705600142279,0.0031853507163557737
Tabula Sapiens,gamma-delta T cell,1977,-0.0032837594168347367,0.03104198859363405,-0.01782280284012576,0.1501758403671148,-0.4753270423888677,-0.005058285900588079,0.005573234327451208,0.10168341138341941,0.2680160922644172,0.06984017418761596,-0.10334480355376761,0.001954004274860791
Tabula Sapiens,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,-0.0046393490396440034,0.027054989666152385,-0.02267258697238779,0.017726454901217437,-0.29940748407759454,-0.004511670573529872,-0.0032663256868324976,0.14988066558220658,0.23860095552535665,0.026329936752414296,-0.11176664400241008,0.0012117220068135065
Tabula Sapiens,T cell,6290,-0.0019865423394737256,0.0146159221273231,-0.015803558855896464,-0.005498320276818847,-0.2477539587096682,-0.0038328711900624834,0.00020859916778488523,0.09408783021791661,0.23089189406608746,0.04161031488273198,-0.09395381131394223,0.0011441361614529168
Tabula Sapiens,intestinal tuft cell,448,-0.02605289847456983,0.0395370165233363,0.020710087300124427,-0.05684637011443211,0.00454184742078978,0.027629963892676246,0.01596211276420425,0.24073607578969214,-0.11497499505390546,-0.051321369976683684,-0.09225435166927685,0.0006970107638141071
Tabula Sapiens,spermatocyte,3070,-0.007977565312424393,-0.05718249182688717,-0.04559007904173789,0.07650713292366129,0.057820532329696084,-0.0500255403167747,0.2903178120135096,0.1822456184163308,-0.3411047479888904,-0.07880977161022285,-0.06084301914792664,-0.003149283596515115
Tabula Sapiens,tuft cell of colon,178,-0.011832181435978311,-0.10996348798368247,0.04492287199258847,0.03860134740694943,-0.002621097996663546,-0.002541099403189556,0.012165445235317176,0.20806188015061539,-0.10139679720996761,-0.05903743117736604,-0.05617300274144307,-0.0036194139238927407
Tabula Sapiens,hematopoietic stem cell,858,-0.003266623492802044,0.05270881405974115,-0.011915304226683292,0.027554301689064142,-0.21923279720586508,-0.011912604174272774,-0.01411770813607791,0.05840890081875516,-0.10001404971526923,-0.07634880945973366,0.24789039967091625,-0.004567770924747936
Tabula Sapiens,large intestine goblet cell,1557,-0.019579448247078374,-0.17754933094136463,0.01683202196979479,-0.04867602243925401,-0.21521236497619323,-0.013193480275283036,0.0539907482241543,0.1770362675203589,0.02855337313068318,-0.08906661958291323,0.22810430667804543,-0.005341868085368179
Tabula Sapiens,"CD8-positive, alpha-beta T cell",76277,-0.0033117794481989098,0.01700565350087424,-0.018882495417773842,0.027767154327868138,-0.332567926958958,-0.003988812502409885,0.0012030926701818677,0.16155120423072744,0.18141444564429848,0.008616596817318856,-0.10701571255400022,-0.006200779971824711
Tabula Sapiens,colon endothelial cell,348,-0.0033053449695614094,0.13820583932257557,0.0019444890238007467,-0.060935229910658084,-0.38252579645178786,-0.0011182850507260615,0.00200270222531412,0.17662107995561804,0.06725836517168848,-0.07143561237828933,0.06077948499701104,-0.006591664369546798
Tabula Sapiens,blood vessel smooth muscle cell,6642,-0.0014292859025602422,-0.028906825372234546,0.1277198939242723,0.038687331578346085,-0.5050342925088085,-0.008421552574588168,0.04578623458834867,0.13755783431417296,-0.19451141588544674,-0.11333133423697656,0.42715667422885595,-0.006793339804238069
Tabula Sapiens,microglial cell,410,0.0032745190739359087,0.06710080998860857,-0.007573859111190111,-0.03798980184838302,-0.32702764243614385,0.006610410155489951,0.04201538018234891,0.012512071562560012,0.2775708919200228,0.026072337212357355,-0.1383788810988713,-0.006892160399933158
Tabula Sapiens,small intestine goblet cell,2044,-0.015710051968300068,-0.17247153254250402,0.008111719661373473,-0.12466567693408355,-0.25001764825441364,0.08060816173786454,0.015671732602811857,0.18737732816932756,0.13186633408237286,-0.08428457970899178,0.13980647899215465,-0.007609794014762553
Tabula Sapiens,innate lymphoid cell,971,-0.0025862274551428435,-0.0398229959484393,-0.016376303774397003,0.0034908047957020183,-0.3632336820313662,-0.003139828517733297,-0.002864761383154734,0.19795440691020566,0.20903420985573717,-0.0603555668785489,-0.019612523473413378,-0.008864769809140981
Tabula Sapiens,endothelial cell of artery,3471,-0.003103074673882537,0.17174488435369462,-0.00577000733921092,-0.0942093775735017,-0.4063254709993854,-0.006012100365028699,-0.0018178671124052907,0.24707506886268438,0.016507796805380892,-0.030506722548079457,0.013809102576275406,-0.008964342546678062
Tabula Sapiens,capillary endothelial cell,15298,-0.003641886083787368,0.1770859216099585,-0.0008193060603083925,-0.09918190147174952,-0.37693439145262125,-0.0045879809803330614,-0.002107525934269324,0.2092391467309414,0.03633550557611437,-0.009542546854832967,-0.02835824078191633,-0.009319382336618541
Tabula Sapiens,pancreatic ductal cell,2721,0.24156588534867335,-0.2087798671174389,0.09616095832426161,0.018649299616505466,-0.37523603837352515,7.762884637645476e-05,-0.04293322914055124,0.09735324607151341,-0.10490161899158246,-0.015588155578489804,0.18401284969374188,-0.009965367390955942
