dataset,field,label,n_cells,pct_cells
tabula_sapiens,cell_type,B cell,114495,10.07685144928174
tabula_sapiens,cell_type,"CD4-positive, alpha-beta T cell",97130,8.548535580319975
tabula_sapiens,cell_type,fibroblast,83338,7.33468401310312
tabula_sapiens,cell_type,"CD8-positive, alpha-beta T cell",76277,6.713236368372971
tabula_sapiens,cell_type,neutrophil,69539,6.1202163669295855
tabula_sapiens,cell_type,macrophage,69072,6.079115099391138
tabula_sapiens,cell_type,stromal cell of ovary,35003,3.0806588172340166
tabula_sapiens,cell_type,endothelial cell,33703,2.9662441538507576
tabula_sapiens,cell_type,basal cell,33526,2.9506661573747293
tabula_sapiens,cell_type,plasma cell,27349,2.4070204837451965
tabula_sapiens,cell_type,bladder urothelial cell,27241,2.397515265556434
tabula_sapiens,cell_type,monocyte,25753,2.266554481622365
tabula_sapiens,cell_type,mesenchymal stem cell,23499,2.0681770575716985
tabula_sapiens,cell_type,smooth muscle cell,18425,1.621607825258885
tabula_sapiens,cell_type,classical monocyte,18200,1.6018052873656288
tabula_sapiens,cell_type,luminal epithelial cell of mammary gland,15432,1.3581900656388122
tabula_sapiens,cell_type,capillary endothelial cell,15298,1.3463965541823841
tabula_sapiens,cell_type,erythrocyte,14611,1.2859328051483079
tabula_sapiens,cell_type,natural killer cell,14231,1.252488518928586
tabula_sapiens,cell_type,enterocyte of epithelium proper of duodenum,13495,1.187712217197756
tabula_sapiens,cell_type,stratified squamous epithelial cell,12323,1.0845629975937716
tabula_sapiens,cell_type,acinar cell of salivary gland,12237,1.0769940275545713
tabula_sapiens,cell_type,pulmonary alveolar type 2 cell,11594,1.020402774819621
tabula_sapiens,cell_type,conjunctival epithelial cell,11087,0.9757810561001498
tabula_sapiens,cell_type,pericyte,10888,0.9582668114745585
tabula_sapiens,cell_type,luminal cell of prostate epithelium,10652,0.9374961495065207
tabula_sapiens,cell_type,cardiac endothelial cell,10092,0.8882098329721937
tabula_sapiens,cell_type,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,0.864886843897914
tabula_sapiens,cell_type,kidney epithelial cell,9278,0.8165686514383683
tabula_sapiens,cell_type,hepatocyte,7414,0.6525156264026798
tabula_sapiens,cell_type,blood vessel smooth muscle cell,6642,0.584570918608929
tabula_sapiens,cell_type,enterocyte of epithelium proper of ileum,6477,0.5700490574872075
tabula_sapiens,cell_type,T cell,6290,0.5535909482159234
tabula_sapiens,cell_type,mast cell,6222,0.5476061812081836
tabula_sapiens,cell_type,skeletal muscle satellite stem cell,6170,0.5430295946728533
tabula_sapiens,cell_type,regular atrial cardiac myocyte,5816,0.5118736017207965
tabula_sapiens,cell_type,pancreatic acinar cell,5482,0.48247783435925146
tabula_sapiens,cell_type,intermediate monocyte,5478,0.4821257892411492
tabula_sapiens,cell_type,mature NK T cell,5394,0.47473284176100006
tabula_sapiens,cell_type,mononuclear phagocyte,5336,0.4696281875485162
tabula_sapiens,cell_type,fibroblast of breast,5270,0.4638194430998277
tabula_sapiens,cell_type,vascular associated smooth muscle cell,5019,0.44172861193890606
tabula_sapiens,cell_type,vein endothelial cell,4698,0.41347699121119363
tabula_sapiens,cell_type,"CD4-positive, alpha-beta thymocyte",4685,0.4123328445773611
tabula_sapiens,cell_type,enterocyte of epithelium of large intestine,4567,0.40194751359334213
tabula_sapiens,cell_type,myofibroblast cell,4436,0.39041803597549063
tabula_sapiens,cell_type,thymic fibroblast type 2,4205,0.37008743040508074
tabula_sapiens,cell_type,corneal epithelial cell,4187,0.36850322737362023
tabula_sapiens,cell_type,spermatid,4009,0.35283721961806624
tabula_sapiens,cell_type,duct epithelial cell,3889,0.34227586607499616
tabula_sapiens,cell_type,mesenchymal stem cell of adipose tissue,3777,0.33241860276813073
tabula_sapiens,cell_type,basal cell of prostate epithelium,3495,0.3075994219419161
tabula_sapiens,cell_type,endothelial cell of artery,3471,0.30548715123330206
tabula_sapiens,cell_type,stromal cell,3458,0.3043430045994695
tabula_sapiens,cell_type,thymic fibroblast type 1,3270,0.28779688404865966
tabula_sapiens,cell_type,pulmonary alveolar type 1 cell,3116,0.27424314700171976
tabula_sapiens,cell_type,spermatocyte,3070,0.27019462814354284
