"barcode","group","AddModuleScore__minimal8","AddModuleScore__full61","scPS__minimal8","scPS__full61","AUCell__minimal8","AUCell__full61","JASMINE__minimal8","JASMINE__full61","ssGSEA__minimal8","ssGSEA__full61","UCell__minimal8","UCell__full61","SCSE__minimal8","SCSE__full61"
"cell_16769","CD4-positive, alpha-beta thymocyte",-0.0289116163145832,0.0132504914244955,0,0.0452325171608285,0,0.154956284153005,0,0.454452045542218,20318.5570522129,23521.0744867835,0,0.0859567677353837,0,0.581808549109927
"cell_16770","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0494508368498542,-0.0133511377834807,0,0.0494016918214087,0,0.118371584699454,0,0.423726639530599,19271.2938133272,23431.8800946032,0,0.0681125779776585,0,0.498083155221291
"cell_16771","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0438246161915547,0.0182942312519597,0,0.0481908044904059,0,0.152207650273224,0,0.454272056938291,19996.5145425592,23119.5733528836,0,0.0979031124105838,0,0.575952237483781
"cell_16772","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0508330895463295,-0.0199818794904739,0,0.0459964873723955,0,0.139311475409836,0,0.427058773392048,20196.1658965642,23143.2340424043,0,0.0746799986608488,0,0.505488695075704
"cell_16773","CD4-positive, alpha-beta thymocyte",-0.030770772888192,-0.0352887196735386,0,0.0395054649680035,0,0.121027322404372,0,0.392376744448895,20210.0427283079,23261.7121250513,0,0.0570366815833231,0,0.460824057537336
"cell_16774","naive thymus-derived CD4-positive, alpha-beta T cell",-0.04019782865135,0.0777991520256337,0,0.057894836166637,0,0.19327868852459,0,0.509763163431453,20098.1529588435,23915.8448225692,0,0.116852101909406,0,0.696256883291514
"cell_16775","CD4-positive, alpha-beta thymocyte",-0.0529537032616981,0.0395173443354787,0,0.0548874395700457,0,0.149224043715847,0,0.43472936068806,20081.5257640516,23839.2756080832,0,0.0648930352977938,0,0.59917012851778
"cell_16776","CD4-positive, alpha-beta T cell",-0.0430990262730223,0.0348428689173623,0,0.0518617780835488,0,0.154956284153005,0,0.451330755804438,20154.285368329,23549.2978950596,0,0.0737481726165898,0,0.603612595577484
"cell_16777","CD4-positive, alpha-beta thymocyte",-0.0304678116265675,-0.000765657447231116,0,0.0431247035116833,0.0181728068726251,0.124950819672131,0,0.441392116391988,20342.4352041322,23041.0452834582,0,0.0800366034661697,0,0.543411745086127
"cell_16778","CD4-positive, alpha-beta thymocyte",-0.0397132105947052,0.0509493404803305,0,0.0506482191737105,0,0.147928961748634,0,0.475570591845038,20188.4148734282,23568.2664682746,0,0.106696871965986,0,0.658015895846865
"cell_16779","CD4-positive, alpha-beta T cell",0.0264303181336385,0.0312986095183283,0.0175664671776257,0.0514101195002248,0,0.146054644808743,0.183561564116249,0.434763701860778,20925.003644838,23469.4220073773,0,0.0874967916169135,0.0182797135701073,0.574203426634736
"cell_16780","naive thymus-derived CD4-positive, alpha-beta T cell",0.0384318081263671,0.0272454157142949,0.0193725671403318,0.0520675431189875,0.0536510821080456,0.169256830601093,0.194834090809513,0.468562288672929,20567.46201648,23459.1252173943,0,0.0972837549799686,0.0209783601213241,0.586904457188581
