collection,organism,gene,n_expressing,total,group,n_cells,pct_expressing,mean_all,mean_expressing
census_spatial_sequencing,homo_sapiens,KCNJ3,27,27.0,inguinal part of abdomen,14976,0.18028846153846154,0.0018028846153846155,1.0
census_spatial_sequencing,homo_sapiens,KCNJ3,93,96.0,respiratory system,59904,0.15524839743589744,0.0016025641025641025,1.032258064516129
census_spatial_sequencing,homo_sapiens,KCNJ3,27,28.0,spleen,19968,0.13521634615384615,0.0014022435897435897,1.037037037037037
census_spatial_sequencing,homo_sapiens,KCNJ3,205,208.0,endocrine gland,154752,0.13247001654259719,0.0013440860215053765,1.0146341463414634
census_spatial_sequencing,homo_sapiens,KCNJ3,145,146.0,exocrine gland,119808,0.1210269764957265,0.001218616452991453,1.006896551724138
census_spatial_sequencing,homo_sapiens,KCNJ3,138,142.0,skin of body,124800,0.11057692307692307,0.0011378205128205127,1.0289855072463767
census_spatial_sequencing,homo_sapiens,KCNJ3,233,247.0,lymph node,246056,0.09469389082160158,0.0010038365250186949,1.0600858369098713
census_spatial_sequencing,homo_sapiens,KCNJ3,5,6.0,vasculature,6142,0.08140670791273201,0.0009768804949527841,1.2
census_spatial_sequencing,homo_sapiens,KCNJ3,18,18.0,immune system,26917,0.06687223687632352,0.0006687223687632352,1.0
census_spatial_sequencing,homo_sapiens,KCNJ3,14,15.0,placenta,39936,0.035056089743589744,0.00037560096153846156,1.0714285714285714
census_spatial_sequencing,homo_sapiens,KCNJ3,21,21.0,axilla,66262,0.031692372702302976,0.00031692372702302977,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,384,414.0,placenta,39936,0.9615384615384616,0.010366586538461538,1.078125
census_spatial_sequencing,homo_sapiens,KCNJ6,28,29.0,chest wall,9362,0.2990813928647725,0.003097628711813715,1.0357142857142858
census_spatial_sequencing,homo_sapiens,KCNJ6,482,512.0,breast,165577,0.29110323293694174,0.0030922169141849414,1.062240663900415
census_spatial_sequencing,homo_sapiens,KCNJ6,98,98.0,hindlimb,39936,0.2453926282051282,0.002453926282051282,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,48,48.0,large intestine,19968,0.2403846153846154,0.002403846153846154,1.0
