group,n_cells,ADORA1,GNAI1,GNAI2,GNAI3,GNAO1,ADCY1,ADCY5,ADCY6,ADCY8,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKACA,PRKACB,CREB1,KCNJ3,KCNJ6,KCNJ9,KCNJ5,CACNA1B,CACNA1A,PLCB1,PLCB2,PLCB3,PLCB4,PRKCA,PRKCB,PRKCD,PRKCE,CALM1,CALM2,CALM3,NFKB1,RELA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PREX1,RAC1,MAPK1,MAPK3,MAP2K1,MAP2K2,MAPK8,MAPK9,MAPK10,MAPK11,MAPK14,AKT1,AKT2,AKT3,VEGFA,NOS1,NOS2,NOS3,GUCY1A1,GUCY1B1,PRKG1,PRKG2
intestinal crypt stem cell of colon,1732,0.0,0.22594417765839822,0.08660000975633053,0.524565092961177,0.0014198604136636572,0.004014407101734681,0.033269643783569336,0.16020292084982435,0.00011081018809908807,0.2277928706404794,0.19617896088276393,0.5521926453840375,0.04961694711625714,0.13388196507997932,0.5182106704139269,0.26971320412175487,0.003045732959864046,0.000731819382423479,0.00013518293859226323,0.0004630917489666311,0.000604890235301804,0.011233005079055768,0.015938630693228636,0.005474190513751798,0.11549143537913403,0.4993758443872042,0.5984343909776789,0.04102102259290136,0.20023053684906375,0.33193160507475256,2.2286894993198385,1.73477928522828,0.5169147748594747,0.6248118192576921,0.1518143419580702,0.12513124557345348,0.2808896867562662,0.0032792259136743963,0.35128429229209934,0.03578906349717332,1.5468462244467702,0.4195201069323075,0.44055792503489083,0.30971842164530766,0.7818323803966646,0.40338849525804055,0.13076419870242237,0.0019731249221477992,0.00023706381232854124,0.22717102680690845,0.20677098446024483,0.12495369338548762,0.007003961410588536,0.443628089807876,0.0007123175199739377,0.02534446650234161,0.0,0.0007775556339127362,0.0003018940844106344,0.788343237949574,0.012224317354087742
enteroglial cell,990,0.0,0.03862033757296476,0.7707864626489505,0.44194790907580445,0.005327088242829448,0.035944946637057294,0.0031459601840587575,0.02856299841042721,0.0018178142701285053,0.4572919325395064,0.13220465929821285,0.3652366946441959,0.025567227300971447,0.100682331335665,0.12843600379096137,0.2530332726661605,0.004024148107779147,0.002768547377652592,0.0,0.0,0.004509173137973053,0.012774568758528643,0.9110836561957393,0.004969172887127809,0.02981727532666139,0.05195084846380985,1.5940791621352688,0.022406857182281185,0.013181519448155104,0.4948623194839015,2.056052718499694,2.4705711249149207,0.23240380913320213,0.6086853099591805,0.15379807070048168,0.3989805606880573,0.09383995749733665,0.04025250661252725,1.4001095954817955,0.12819647993704286,1.0541841478058787,0.4098776740257186,0.11703631697279034,0.22647186120351157,0.3183801351171551,0.6914671820823592,0.06984550639836475,0.14793540239334108,0.0,0.16121186583933203,0.1250190287753187,0.09352662804150823,1.5327358082087352,0.252667315319331,0.003423023705530648,0.0,0.0008496703523578066,0.006168880546935881,0.012489667324104694,0.042541335568283545,0.000866430839805892
tuft cell of colon,178,0.0,0.3592374505621664,0.381118396359883,0.24858780791250507,0.0015719499480858277,0.0004830822097451499,0.016192099351561472,0.39500846889581576,0.0,0.1790695552075847,0.19275651319643086,0.21634099590644407,0.2226651059777549,0.10719207264064404,0.6133560970258177,0.6013318095984084,9.306200016080663e-05,0.023103759529885283,0.000679988916335481,0.0006081402050645164,0.023447811603546143,0.051449139466446435,0.09869619802142797,0.5891695129737425,0.04720323005419099,0.1386124665817518,1.6122067912241047,0.09280717506837309,0.17995739083611564,0.352958329942789,0.866267664713806,1.51369632629866,0.12150989924923758,0.2592370161849461,0.0672803239875965,0.23664220933164104,0.3771152298771933,0.012033599271868051,0.39271641782160555,0.18283133694295134,0.38932560936788496,0.4395617561393909,0.12723626380556086,0.11572128936146082,0.2238853731182184,0.5980568009146144,0.11828640706083748,0.14763658502128688,0.00025011709985438356,0.49400091037321625,0.07027723816003692,0.19713919350270476,0.024287444821904213,0.6556934359368314,0.01738616522778286,0.0008826288446951449,0.000795152582479327,0.0,0.0,0.20163754231474373,0.0668758200795463
colon endothelial cell,348,0.0,0.2019979296059444,1.086234011869321,0.7260372597595741,0.028403255724530112,0.0039055670301119485,0.03752452398425546,0.0661138373202291,0.0,0.49933393248196306,0.16391464588285862,0.4084494374264246,0.09712250171036556,0.14715840556155677,0.10137096047401428,0.4132753240651098,0.012751328705371111,0.01014856626440225,0.00017992828854884225,0.0009716453737226026,0.0,0.029838773882252045,1.2925332716141624,0.006855447401945618,0.03585747740734583,0.6813012464293118,0.1860449806540862,0.028957407627169085,0.03664066805236641,0.6336678156907531,1.9028402635420876,1.4497667064611939,0.22528284788131714,0.666159133801515,0.24405708052646155,0.30631589958037453,0.11865434358859885,0.018457107845394092,0.2546447878596426,0.26583448977305973,1.5252254694357685,0.35439040571793745,0.2999401602936887,0.303914579851874,0.24232527921939717,0.4869802511971572,0.09249762899574192,0.0645646377541553,0.07936162715670707,0.26164488580035067,0.13385844915762715,0.11423824367852047,1.0889731796308495,0.22580286346632858,0.018007498983850425,0.004219347546840536,0.25322999351326075,0.23022737311220717,0.0894043246905009,0.6720379669775908,8.171929003692221e-05
bladder urothelial cell,27241,0.0003313378395586478,0.2589649813653334,0.4734944314544612,0.8096390260630805,0.0010727807917191785,0.030258460041535006,0.05856388624594656,0.09015808155881401,0.00045190503263713323,0.41379887208483135,0.07234886286783042,0.24561945433956398,0.017671350384112133,0.09894476612209115,0.2884589698292699,0.4705545068255413,0.0005719902901295712,0.0011642853014926275,0.00015634407344129983,0.0010507480193460519,0.0006884014434495173,0.009505927836219757,0.9724680382898825,0.012564013849852663,0.0576691618925289,0.11383691503938514,1.1936325577928835,0.13028684608877059,0.36092938501961513,0.6398590727571147,1.3651558052035822,0.9758966609133808,0.4761461251142866,1.4975493021383497,0.31847907675813153,0.3538345931223199,0.21258266027888942,0.011870133264584406,0.19832935181313827,0.0023182594217325833,1.410704732917093,0.4948154050502775,0.08684828708422244,0.5016206692530761,0.31409420485206124,0.6278987475758909,0.13257591455090673,0.8618610136038336,0.0018791997447149863,0.3617983534798119,0.13717137270179255,0.1530954810404698,0.19009374081705563,0.7472344370456498,0.003584568232964158,0.021902501537697346,0.00039663185855723626,0.005494012465399445,0.0006484056699775283,0.009257148695974061,0.047429551339911794
hepatocyte,7414,0.0007510223388993454,0.3904663606099372,0.13567008776326434,0.1592907288790328,0.31358177579278246,0.5788364170351809,0.006472036367096861,0.14882836311689793,0.0035527384213626884,0.21991058578702166,0.12144461878564582,0.5208892999616376,0.0020531262546206923,0.11164814614850876,0.35037966266712606,0.2989600711203921,0.05291292896996234,0.004294860514148664,0.0008996363306161301,0.0012159159973299917,0.0026289702490844397,0.027427630612939707,0.3256136518396841,0.0015300962041901681,0.010739042940955295,0.004676868531592683,1.3567243578940749,0.016369279259969064,0.007835147739067726,0.7061287189530079,0.1797606832485235,0.21921761736317982,0.058811813633108126,0.4646705608339621,0.05547274009603228,0.3099276319101939,0.6031350520443717,0.009868380738488098,1.6428608238327236,0.023609855119063584,0.2979163205105885,0.41801717411538286,0.013619963904741739,0.5440456147444097,0.17968253070593587,0.6942176008951255,0.20658502575197984,0.0049497413609527596,0.003133434087785711,0.8680357531713996,0.14077179801570203,0.2905407784793587,0.09360588723361504,0.5940771739631449,0.007955569364904297,0.00043962022381585213,0.0011089570219381048,0.0169727780328853,0.008017393657628628,0.028784397126273193,0.002954580428104899
enterocyte of epithelium proper of small intestine,1415,0.0011148865568342983,0.06233448257715879,0.13638837295370473,0.2689352072591074,0.006858044883808904,0.005351667227256425,0.015757713385268574,0.10977637624572106,0.0017548090156312545,0.061991499506542626,0.12289969643097463,0.17502737900393592,0.004662563375365187,0.03296946940068221,0.0061132073823639025,0.25106060850325407,0.2081701743729123,0.010272577373383324,0.002256045556321161,0.005081128147381354,0.009308673046502966,0.054329476508150676,0.11584080386077557,0.006032003951999408,0.3330413036548628,0.020974939198039024,0.6235227524181137,0.022085305069023644,0.28316575714219167,0.24196921776545763,1.3793519791781692,0.9271162134177272,0.1958422724855241,0.25908146186767955,0.08851706029669557,0.10268378948575617,0.2294322064403089,0.00813541850437124,0.20693617709533907,0.006541775140661233,0.590136592042741,0.21639108961125567,0.15637339399897168,0.3093622268299332,0.31919570221917787,0.4236067067607974,0.05925923836526096,0.020211640832280945,0.002156027467006508,0.20070658168186148,0.16283272854430936,0.1049150378038521,0.02641032390796675,0.5050961632610631,0.013070837095011249,0.028027956561570453,0.002508745387249195,0.01710861596960061,0.0023493387673853144,0.34223158199458575,0.07651457500120776
paneth cell of epithelium of small intestine,1853,0.00015496599693524791,0.10182590144940215,0.3066095402610025,0.5804410832544564,0.00407733845826554,0.0015438537435536763,0.01461431765260403,0.10754136555399434,0.0005760713889028855,0.2054049434754505,0.13326114277806209,0.40059910551380995,0.0005504701309674055,0.0987157682695713,0.04097496318096608,0.2720022041991924,0.3138063444167424,0.00395397577360393,0.0007788992159699853,0.001497670600750658,0.0017206432751173336,0.019343767305097254,0.1026737523992449,0.0007935970603486878,0.4804810093212179,0.07762557794468118,0.9583718824309397,0.10144958300521036,0.34474635857604224,0.4345456749699403,2.7926005792180333,1.756265145151022,0.6340947797088705,0.5024703860089899,0.16549758787613203,0.14699792784738722,0.324936012930955,0.004563788996473622,0.32020448621903247,0.0026924783515724308,1.6378151759288149,0.4467811358020039,0.4609532652194604,0.4714996834027722,0.8441891492667613,0.9412098867598573,0.13339395517924638,0.008049058869151379,0.00027819638202319707,0.27977835649551086,0.16825634070621331,0.1184597344766484,0.0046048198323505865,0.6798980329979837,0.001896202741155609,0.015490358093269953,0.0026231754231440074,0.01270912302164406,0.001622781004702408,0.33642986974906613,0.17245974929282554
intestinal crypt stem cell of small intestine,587,0.0,0.11264556961124557,0.19372328257845045,0.5592437870863959,0.0014621957603467588,0.003113068906777559,0.017242396304310893,0.16375809024505356,0.0003388494100846871,0.1653244024240991,0.20280950235954948,0.3643321438583036,0.0042490129576427975,0.07708851564072669,0.06343851706847625,0.42241440842870553,0.47667588976416514,0.005926745205965318,0.0003579619389782569,0.0024978979482764485,0.0004148298471506044,0.05180490118478388,0.22990551067982662,0.0100060813065485,0.38669930852860773,0.1543509852287107,1.0662969202564765,0.10819470557484147,0.2766990409799085,0.3961266090354075,1.9036979642799807,1.4385009226238503,0.484674920012232,0.5059891169481424,0.13763606974782083,0.17440331368064554,0.3858559980506182,0.006213622499698396,0.6676815250663173,0.009510431825810031,1.1148090200083016,0.39575487101098344,0.25590256206830886,0.345248896584194,0.508469679083491,0.7463337542454266,0.16122147171826337,0.006725033564299497,0.0013278091177217396,0.3768672805019294,0.20253930506145731,0.15484320000448665,0.018512178827997366,0.5526240875205148,0.0023650836954734193,0.12095267616301217,0.0027652007402309566,0.02159258819723048,0.0,0.5576213888658982,0.06299096924685944
glandular secretory epithelial cell,235,0.01652141682645108,0.140039347334111,0.5647404670715332,0.3448738065171749,0.028106527696264552,0.013017506295062126,0.07323446996668552,0.06008456672759766,0.33578132872885846,0.47129996888180997,0.15281211423112992,0.3349240361376012,0.19497347077790728,0.08970485627651215,0.14316468695376783,0.3628382388581621,0.0,0.006027047684852113,0.0,0.04714145539922917,0.1388996773577751,0.05638310757089168,1.3692529110198326,0.004290263513301282,0.021289961705816554,0.2623427670052711,0.47074692147843383,0.020220458253901057,0.07924298200201481,0.5787961117764737,1.228010068041213,1.5717578421247766,0.4096076879095524,0.8098309141524295,0.20579004947175372,0.23952988893427749,0.32002835070833247,0.011475383474471721,0.43679731450182324,0.015398974875186352,1.0862846070147576,0.2768832095125888,0.1268048900239011,0.24261301831996188,0.5391902106873533,0.6087173086531619,0.15912308388567986,0.32006224723572424,0.01239132247072585,0.19412503546856819,0.19282893043883303,0.21454418517173604,0.6258168281392849,0.2149546131174615,0.018651473775823067,0.0,0.004614371441780253,0.05317530651041802,0.16675712707194876,0.44434964301738333,0.013271419608846624
Mueller cell,506,0.0872891561787119,0.18152989983087472,0.5057374969301488,0.16111933513592355,0.18224582182088858,0.36672977213803015,0.0288139396740985,0.035053526459946464,0.015521404535874077,0.4017473410947521,0.15783107987505646,0.31106133270169434,0.08130226304879773,0.20568469767513953,0.5787932461665082,0.3146570712445753,0.022829809914464535,0.05187533943078264,0.012998001377573126,0.004260880084848215,0.13266895316806235,0.14955936166137573,0.30255673525361676,0.006901954473714112,0.01707884115663913,0.09575432845255132,0.48358316242459265,0.3186468267629269,0.006250824793996547,0.4324531267754174,1.680171769598256,2.1362253041135464,0.814072392674774,0.14104559534623218,0.04080506299324187,0.24739010567250458,0.2298195931044492,0.03674803232487011,0.7912009764801372,0.17398623327021542,0.5291842377704122,0.3611518309521581,0.40535451489474933,0.19865721864662622,0.4705356552666826,0.28807342688556714,0.11535333267784872,0.3520601139709412,0.019414215219821854,0.135751374978793,0.14976223372659192,0.1936362750916613,0.5205864925158353,0.5208537252288562,0.038475633138724465,0.002004443421194205,0.0,0.11814475624928833,0.12703643768672415,0.6721259708932266,0.0028409632769497957
retinal pigment epithelial cell,67,0.021545591639049018,0.06940787941662234,0.13295572017555807,0.1639292987424936,0.05123527726130699,0.0,0.0,0.060870493525889385,0.0,0.4672154567079313,0.01874909116261041,0.2659331008569518,0.012859211928808867,0.13223176571860243,0.17512209024002304,0.18652654050001458,0.0,0.0,0.0,0.11451185995073461,0.0,0.0,0.023362886549821542,0.0,0.0017524382738924738,0.3823100417407591,0.0,0.5679377014957258,0.08895779723551736,0.0017524382738924738,2.6715336984662867,1.8738632344487887,0.49301496192590516,0.12327669983479514,0.09399527222362918,0.1376132609239265,0.3701725148442966,0.016241329819408814,0.20403180193545215,0.01996374486097649,0.7191126239833547,0.27581883900201143,0.20050763372165054,0.1496131669229536,0.5196517403446027,0.08690300628320495,0.10719836114057854,0.29392059525447106,0.012782446484067548,0.07054373221610909,0.1236877886217032,0.369303543176224,0.22021509996101038,0.48162167107881004,0.0,0.0,0.0,0.0,0.0,0.002498909608641667,0.00962730663925854
mesenchymal stem cell of adipose tissue,3777,0.004128716880125693,0.12669507820264733,0.5667730546799292,0.40738657778900766,0.043610964539399937,0.037274041771099685,0.018503300319673573,0.05494793617507595,0.00044427175259563814,0.6249149048299993,0.029998847028708565,0.42447100286607486,0.09119720726629271,0.20844680820472158,0.2206387323521419,0.34875958023293485,0.012647573393048324,0.003029448540202202,0.0005537327758717354,0.0021454624507180717,0.000351266473381804,0.023141048179911278,0.5134976723852503,0.006010385395390412,0.033266978381265244,0.07134083891028539,0.42686891480037575,0.19674730465025192,0.05844907799125633,0.42094266076930026,1.2356516934274395,1.170087909774235,0.40857625051816054,0.6238031814045966,0.18147503234483528,0.40983822701120615,0.13539812165276222,0.04936192917514485,0.9452082937218886,0.08310373731476307,0.9484503526109408,0.36525904876642323,0.32201547322211393,0.3363242544507993,0.514042285942419,0.45509074647684783,0.21103566779262148,0.5151497451660019,0.015814701652981347,0.3110058437051488,0.148647275903978,0.1858699857667858,0.9315111535486166,0.2623198334742135,0.0016607034873530005,0.0014433579877914497,0.0015125579178739642,0.011855770615569366,0.026326127594811774,0.7723607534701968,0.008078215849409036
