dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1063024,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.348858,11.790443,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063030,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.51349,14.772455,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063075,stratified squamous epithelial cell,stratified epithelial cell,posterior part of tongue,Tongue,,,,,7.846875,12.688767,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063077,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.678816,10.866149,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063084,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,6.2583337,22.67924,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063086,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.1714573,11.740059,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063091,stratified squamous epithelial cell,stratified epithelial cell,posterior part of tongue,Tongue,,,,,7.7382193,13.163373,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063100,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,8.013591,12.096366,ADORA2B,0.0,0.0,0.9147335,0.0
Tabula Sapiens,1063102,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.153495,11.548514,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063125,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,8.024537,11.619794,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063159,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2526593,11.704358,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063166,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.317692,11.467362,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063175,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.613114,10.969932,none,0.5981767,0.0,0.0,0.0
Tabula Sapiens,1063176,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.3171253,11.58281,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063181,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,8.18757,11.502467,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063207,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.0893536,11.563706,ADORA1,1.1340985,0.0,0.0,0.0
Tabula Sapiens,1063209,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.4427595,11.058661,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063220,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.360468,11.065831,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063227,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.1271474,13.657072,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063236,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,8.03581,11.987125,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063247,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.0399394,11.5445,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063251,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.913733,13.511716,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063256,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.7232194,13.3697405,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063267,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.8446393,13.609424,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063272,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.334767,11.520805,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063286,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.74405646,13.509783,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063302,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.4219823,11.652142,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063333,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.230143,10.958215,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063336,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.382348,11.047129,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063354,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.1891513,11.706221,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063357,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.2776,11.144175,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063358,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.8614489,13.439325,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063361,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.534928,10.998306,ADORA1,0.7742234,0.0,0.0,0.0
Tabula Sapiens,1063364,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.595819,13.400632,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063375,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.605248,10.916476,none,0.12621506,0.0,0.0,0.0
Tabula Sapiens,1063390,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.1937537,11.570467,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063398,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.65775,10.793933,none,0.15163764,0.0,0.0,0.0
Tabula Sapiens,1063404,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.0313106,11.733301,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063406,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.4588785,14.916148,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063439,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.81111336,13.673493,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063442,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.77100277,13.535589,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063443,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.802354,14.590819,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063445,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.513055,11.704633,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063449,stratified squamous epithelial cell,stratified epithelial cell,posterior part of tongue,Tongue,,,,,7.8762865,13.352627,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063462,Schwann cell,glial cell,posterior part of tongue,Tongue,,,,,5.8191648,13.0219345,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063464,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.8954203,13.413055,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063474,fibroblast,fibroblast,posterior part of tongue,Tongue,,,,,1.8031361,17.70908,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063476,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.3784099,13.485951,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063493,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.8639107,14.729263,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063506,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2276573,11.679261,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063516,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,8.097114,12.029266,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063536,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.717953,14.806635,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063560,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.315872,11.10903,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063588,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,7.8748684,12.488756,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063603,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.219191,11.618164,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063609,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.342313,11.152475,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063619,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.305915,11.2773,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063624,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.62552774,13.521749,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063630,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.7144156,14.799461,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063637,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.8817093,13.159901,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063646,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.5331755,11.656882,none,0.0,0.0,0.0,0.0
